ksh,xm,sfzh,lxdh,yxdh,yxmc,kldm,zydh,zymc,pcdm
21376666050002,zhang50001,8888,8888,A231,SDKJDX,2,22,English,1
21376666050003,zhang50002,8888,8888,A231,SDKJDX,2,22,English,1
21376666050004,zhang50003,8888,8888,A231,SDKJDX,2,22,English,1
21376666050005,zhang50004,8888,8888,A231,SDKJDX,2,22,English,1
21376666050006,zhang50005,8888,8888,A231,SDKJDX,2,22,English,1
21376666050007,zhang50006,8888,8888,A231,SDKJDX,2,22,English,1
21376666050008,zhang50007,8888,8888,A231,SDKJDX,2,22,English,1
21376666050009,zhang50008,8888,8888,A231,SDKJDX,2,22,English,1
21376666050010,zhang50009,8888,8888,A231,SDKJDX,2,22,English,1
21376666050011,zhang50010,8888,8888,A231,SDKJDX,2,22,English,1
21376666050012,zhang50011,8888,8888,A231,SDKJDX,2,22,English,1
21376666050013,zhang50012,8888,8888,A231,SDKJDX,2,22,English,1
21376666050014,zhang50013,8888,8888,A231,SDKJDX,2,22,English,1
21376666050015,zhang50014,8888,8888,A231,SDKJDX,2,22,English,1
21376666050016,zhang50015,8888,8888,A231,SDKJDX,2,22,English,1
21376666050017,zhang50016,8888,8888,A231,SDKJDX,2,22,English,1
21376666050018,zhang50017,8888,8888,A231,SDKJDX,2,22,English,1
21376666050019,zhang50018,8888,8888,A231,SDKJDX,2,22,English,1
21376666050020,zhang50019,8888,8888,A231,SDKJDX,2,22,English,1
21376666050021,zhang50020,8888,8888,A231,SDKJDX,2,22,English,1
21376666050022,zhang50021,8888,8888,A231,SDKJDX,2,22,English,1
21376666050023,zhang50022,8888,8888,A231,SDKJDX,2,22,English,1
21376666050024,zhang50023,8888,8888,A231,SDKJDX,2,22,English,1
21376666050025,zhang50024,8888,8888,A231,SDKJDX,2,22,English,1
21376666050026,zhang50025,8888,8888,A231,SDKJDX,2,22,English,1
21376666050027,zhang50026,8888,8888,A231,SDKJDX,2,22,English,1
21376666050028,zhang50027,8888,8888,A231,SDKJDX,2,22,English,1
21376666050029,zhang50028,8888,8888,A231,SDKJDX,2,22,English,1
21376666050030,zhang50029,8888,8888,A231,SDKJDX,2,22,English,1
21376666050031,zhang50030,8888,8888,A231,SDKJDX,2,22,English,1
21376666050032,zhang50031,8888,8888,A231,SDKJDX,2,22,English,1
21376666050033,zhang50032,8888,8888,A231,SDKJDX,2,22,English,1
21376666050034,zhang50033,8888,8888,A231,SDKJDX,2,22,English,1
21376666050035,zhang50034,8888,8888,A231,SDKJDX,2,22,English,1
21376666050036,zhang50035,8888,8888,A231,SDKJDX,2,22,English,1
21376666050037,zhang50036,8888,8888,A231,SDKJDX,2,22,English,1
21376666050038,zhang50037,8888,8888,A231,SDKJDX,2,22,English,1
21376666050039,zhang50038,8888,8888,A231,SDKJDX,2,22,English,1
21376666050040,zhang50039,8888,8888,A231,SDKJDX,2,22,English,1
21376666050041,zhang50040,8888,8888,A231,SDKJDX,2,22,English,1
21376666050042,zhang50041,8888,8888,A231,SDKJDX,2,22,English,1
21376666050043,zhang50042,8888,8888,A231,SDKJDX,2,22,English,1
21376666050044,zhang50043,8888,8888,A231,SDKJDX,2,22,English,1
